DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241708444,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,0200,17,Devonshire,1791,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1822 1402 1606,25,M,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,331,998,,,20900    BRYANT                       ST,,34.227,-118.5885
241708457,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1745,17,Devonshire,1701,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 1822 0344 1420 0209,19,F,H,406,OTHER STORE,,,IC,Invest Cont,440,,,,19800    RINALDI                      ST,,34.275,-118.5657
241708437,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1245,17,Devonshire,1764,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0302 1300 1822 0334,38,M,H,203,OTHER BUSINESS,102,HAND GUN,IC,Invest Cont,230,,,,19300    NORDHOFF                     ST,,34.2355,-118.5536
241708454,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1830,17,Devonshire,1781,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0416,35,M,W,108,PARKING LOT,304,CLUB/BAT,IC,Invest Cont,230,761,,,8900    DE SOTO                      AV,,34.2323,-118.5885
240208939,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,2045,02,Rampart,0281,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0342 0344,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,2000 W  PICO                         BL,,34.0491,-118.2823
240608579,04/19/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1700,06,Hollywood,0646,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",,0,,,101,STREET,,,IC,Invest Cont,522,,,,6700    SELMA                        AV,,34.0997,-118.3363
240708190,04/18/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1530,07,Wilshire,0765,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AO,Adult Other,510,,,,1200 S  CITRUS                       AV,,34.0533,-118.3426
240908123,04/17/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1500,09,Van Nuys,0909,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2000 0421,57,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,IC,Invest Cont,930,,,,13500    SHERMAN                      WY,,34.205,-118.4339
240209322,04/29/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1130,02,Rampart,0212,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,300 N  VERMONT                      AV,,34.0763,-118.2917
241708524,04/19/2024 12:00:00 AM,04/17/2024 12:00:00 AM,1900,17,Devonshire,1785,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,GRESHAM                      ST,DARBY                        AV,34.2308,-118.5342
